token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10019,EBBE32INAV,EBBE32INAV,,-1.000000,1,,NSE,1.000000
1008,FACT,FACT,,-1.000000,1,,NSE,5.000000
10074,EMAMIPAP,EMAMIPAP,,-1.000000,1,,NSE,1.000000
10122,MOM100INAV,MOM100INAV,,-1.000000,1,,NSE,1.000000
10130,MON100INAV,MON100INAV,,-1.000000,1,,NSE,1.000000
10188,SHYAMCENT,SHYAMCENT,,-1.000000,1,,NSE,1.000000
10277,NGLFINE,NGLFINE,,-1.000000,1,,NSE,10.000000
10310,AURUM,AURUM,,-1.000000,1,,NSE,1.000000
1041,FINPIPE,FINPIPE,,-1.000000,1,,NSE,1.000000
10447,UNITDSPR,UNITDSPR,,-1.000000,1,,NSE,10.000000
10485,RAMRAT,RAMRAT,,-1.000000,1,,NSE,5.000000
10508,MOHEALTH,MOHEALTH,,-1.000000,1,,NSE,1.000000
10512,CONS,CONS,,-1.000000,1,,NSE,1.000000
10530,SHARDAMOTR,SHARDAMOTR,,-1.000000,1,,NSE,5.000000
10588,SHREEPUSHK,SHREEPUSHK,,-1.000000,1,,NSE,5.000000
10726,INDIAMART,INDIAMART,,-1.000000,1,,NSE,10.000000
10733,SPORTKING,SPORTKING,,-1.000000,1,,NSE,1.000000
10738,OFSS,OFSS,,-1.000000,1,,NSE,50.000000
10753,UNIONBANK,UNIONBANK,,-1.000000,1,,NSE,1.000000
10786,NOIDATOLL,NOIDATOLL,,-1.000000,1,,NSE,1.000000
10876,HDFCSILVER,HDFCSILVER,,-1.000000,1,,NSE,1.000000
10940,DIVISLAB,DIVISLAB,,-1.000000,1,,NSE,50.000000
1100,GARFIBRES,GARFIBRES,,-1.000000,1,,NSE,5.000000
11060,KSOLVES,KSOLVES,,-1.000000,1,,NSE,5.000000
11184,IDFCFIRSTB,IDFCFIRSTB,,-1.000000,1,,NSE,1.000000
11343,AFFLE,AFFLE,,-1.000000,1,,NSE,10.000000
11359,DHANBANK,DHANBANK,,-1.000000,1,,NSE,1.000000
11496,AMBICAAGAR,AMBICAAGAR,,-1.000000,1,,NSE,1.000000
11530,EMIL,EMIL,,-1.000000,1,,NSE,1.000000
11647,KOTARISUG,KOTARISUG,,-1.000000,1,,NSE,1.000000
11699,PATELENG,PATELENG,,-1.000000,1,,NSE,1.000000
11743,JINDALPHOT,JINDALPHOT,,-1.000000,1,,NSE,10.000000
11763,JPPOWER,JPPOWER,,-1.000000,1,,NSE,1.000000
11842,CYBERMEDIA,CYBERMEDIA,,-1.000000,1,,NSE,1.000000
11852,SURYALAXMI,SURYALAXMI,,-1.000000,1,,NSE,1.000000
11864,PRIMESECU,PRIMESECU,,-1.000000,1,,NSE,5.000000
11956,MEDANTA,MEDANTA,,-1.000000,1,,NSE,10.000000
11979,HTMEDIA,HTMEDIA,,-1.000000,1,,NSE,1.000000
12015,AEROENTER,AEROENTER,,-1.000000,1,,NSE,1.000000
12603,PRECAM,PRECAM,,-1.000000,1,,NSE,1.000000
12686,MBAPL,MBAPL,,-1.000000,1,,NSE,5.000000
12847,KRISHANA,KRISHANA,,-1.000000,1,,NSE,5.000000
13101,VIMTALABS,VIMTALABS,,-1.000000,1,,NSE,5.000000
13116,QUICKHEAL,QUICKHEAL,,-1.000000,1,,NSE,1.000000
13121,KERNEX,KERNEX,,-1.000000,1,,NSE,10.000000
1328,MARINE,MARINE,,-1.000000,1,,NSE,1.000000
13359,KFINTECH,KFINTECH,,-1.000000,1,,NSE,5.000000
13436,LOKESHMACH,LOKESHMACH,,-1.000000,1,,NSE,1.000000
13496,PFOCUS,PFOCUS,,-1.000000,1,,NSE,5.000000
13517,EMAMILTD,EMAMILTD,,-1.000000,1,,NSE,5.000000
13572,MANUGRAPH,MANUGRAPH,,-1.000000,1,,NSE,1.000000
1360,HIMATSEIDE,HIMATSEIDE,,-1.000000,1,,NSE,1.000000
13644,BANKADD,BANKADD,,-1.000000,1,,NSE,1.000000
13658,GEECEE,GEECEE,,-1.000000,1,,NSE,5.000000
13671,MADHUCON,MADHUCON,,-1.000000,1,,NSE,1.000000
13689,AERONEU,AERONEU,,-1.000000,1,,NSE,1.000000
13693,INFOMEDIA,INFOMEDIA,,-1.000000,1,,NSE,1.000000
13786,TORNTPOWER,TORNTPOWER,,-1.000000,1,,NSE,10.000000
13791,PARSVNATH,PARSVNATH,,-1.000000,1,,NSE,1.000000
13816,LTFOODS,LTFOODS,,-1.000000,1,,NSE,5.000000
13875,JINDRILL,JINDRILL,,-1.000000,1,,NSE,5.000000
13987,ABSLBANETF,ABSLBANETF,,-1.000000,1,,NSE,1.000000
14019,VEEDOL,VEEDOL,,-1.000000,1,,NSE,10.000000
14064,ASMS,ASMS,,-1.000000,1,,NSE,1.000000
14096,SIYSIL,SIYSIL,,-1.000000,1,,NSE,5.000000
14101,PTL,PTL,,-1.000000,1,,NSE,1.000000
14203,HUBTOWN,HUBTOWN,,-1.000000,1,,NSE,1.000000
14241,HMI150INAV,HMI150INAV,,-1.000000,1,,NSE,1.000000
14334,HSCL,HSCL,,-1.000000,1,,NSE,5.000000
14413,PAGEIND,PAGEIND,,-1.000000,1,,NSE,500.000000
14428,GOLDBEES,GOLDBEES,,-1.000000,1,,NSE,1.000000
14435,JKTYRE,JKTYRE,,-1.000000,1,,NSE,5.000000
14479,DIVGIITTS,DIVGIITTS,,-1.000000,1,,NSE,5.000000
14501,BALAMINES,BALAMINES,,-1.000000,1,,NSE,10.000000
14537,DISHTV,DISHTV,,-1.000000,1,,NSE,1.000000
14667,KMSUGAR,KMSUGAR,,-1.000000,1,,NSE,1.000000
14707,TIMETECHNO,TIMETECHNO,,-1.000000,1,,NSE,1.000000
14732,DLF,DLF,,-1.000000,1,,NSE,5.000000
14762,061NSETEST,061NSETEST,,-1.000000,1,,NSE,5.000000
14900,SAHYADRI,SAHYADRI,,-1.000000,1,,NSE,5.000000
1497,SHIVAMILLS,SHIVAMILLS,,-1.000000,1,,NSE,1.000000
14966,CSBBANK,CSBBANK,,-1.000000,1,,NSE,5.000000
14977,POWERGRID,POWERGRID,,-1.000000,1,,NSE,5.000000
15049,ENERGYDEV,ENERGYDEV,,-1.000000,1,,NSE,1.000000
15254,CEATLTD,CEATLTD,,-1.000000,1,,NSE,10.000000
15266,JKIL,JKIL,,-1.000000,1,,NSE,5.000000
1547,RKEC,RKEC,,-1.000000,1,,NSE,1.000000
15399,EIHAHOTELS,EIHAHOTELS,,-1.000000,1,,NSE,5.000000
1627,LINDEINDIA,LINDEINDIA,,-1.000000,1,,NSE,50.000000
15840,LATTEYS,LATTEYS,,-1.000000,1,,NSE,1.000000
16249,CCAVENUE,CCAVENUE,,-1.000000,1,,NSE,1.000000
166,ANDHRAPAP,ANDHRAPAP,,-1.000000,1,,NSE,1.000000
16589,VAISHALI,VAISHALI,,-1.000000,1,,NSE,1.000000
1663,SUNDROP,SUNDROP,,-1.000000,1,,NSE,5.000000
16705,GOKUL,GOKUL,,-1.000000,1,,NSE,1.000000
16725,RPGLIFE,RPGLIFE,,-1.000000,1,,NSE,10.000000
17181,NEXT50,NEXT50,,-1.000000,1,,NSE,1.000000
17400,NHPC,NHPC,,-1.000000,1,,NSE,1.000000
17507,INCREDIBLE,INCREDIBLE,,-1.000000,1,,NSE,1.000000
17572,LIQUID,LIQUID,,-1.000000,1,,NSE,1.000000
17625,MOLDTECH,MOLDTECH,,-1.000000,1,,NSE,1.000000
17675,ALOKINDS,ALOKINDS,,-1.000000,1,,NSE,1.000000
17758,SARDAEN,SARDAEN,,-1.000000,1,,NSE,5.000000
17822,ICIQ30INAV,ICIQ30INAV,,-1.000000,1,,NSE,1.000000
17963,NESTLEIND,NESTLEIND,,-1.000000,1,,NSE,10.000000
17999,UNITEDTEA,UNITEDTEA,,-1.000000,1,,NSE,5.000000
1802,JYOTISTRUC,JYOTISTRUC,,-1.000000,1,,NSE,1.000000
18026,SBFC,SBFC,,-1.000000,1,,NSE,1.000000
18060,CONCORDBIO,CONCORDBIO,,-1.000000,1,,NSE,10.000000
18096,JUBLFOOD,JUBLFOOD,,-1.000000,1,,NSE,5.000000
18139,DOLPHIN,DOLPHIN,,-1.000000,1,,NSE,5.000000
18142,EMMBI,EMMBI,,-1.000000,1,,NSE,1.000000
18321,LGBBROSLTD,LGBBROSLTD,,-1.000000,1,,NSE,10.000000
18581,KIRLOSBROS,KIRLOSBROS,,-1.000000,1,,NSE,10.000000
18743,SIGNATURE,SIGNATURE,,-1.000000,1,,NSE,5.000000
1901,CUMMINSIND,CUMMINSIND,,-1.000000,1,,NSE,10.000000
18921,VBL,VBL,,-1.000000,1,,NSE,5.000000
19015,MVGJL,MVGJL,,-1.000000,1,,NSE,1.000000
19142,UMESLTD,UMESLTD,,-1.000000,1,,NSE,1.000000
19233,AARTISURF,AARTISURF,,-1.000000,1,,NSE,5.000000
19447,CAPTRUST,CAPTRUST,,-1.000000,1,,NSE,1.000000
19458,PLAZACABLE,PLAZACABLE,,-1.000000,1,,NSE,1.000000
19585,BSE,BSE,,-1.000000,1,,NSE,10.000000
